"","hour","AQI","PM2.5","PM2.5_24h","PM10","PM10_24h","SO2","SO2_24h","NO2","NO2_24h","O3","O3_24h","O3_8h","O3_8h_24h","CO","CO_24h","date"
"1",0,15,6,9,9,18,3,3,13,16,49,55,46,50,0.43,0.5,"20190101"
"2",1,16,5,9,8,18,4,3,12,16,50,55,50,50,0.43,0.5,"20190101"
"3",2,16,6,9,7,18,3,4,11,16,51,55,51,51,0.43,0.5,"20190101"
"4",3,15,5,9,7,18,3,4,11,16,49,55,50,51,0.43,0.5,"20190101"
"5",4,16,4,9,7,17,3,4,10,16,52,55,50,51,0.43,0.5,"20190101"
"6",5,16,4,9,8,17,3,4,9,16,51,55,51,51,0.43,0.5,"20190101"
"7",6,16,6,9,8,16,3,4,8,16,50,55,50,51,0.43,0.5,"20190101"
"8",7,15,5,8,10,16,3,4,14,16,49,55,50,51,0.43,0.5,"20190101"
"9",8,14,5,8,11,16,4,4,16,16,46,55,50,51,0.43,0.5,"20190101"
"10",9,15,6,8,15,16,4,4,19,16,42,55,49,51,0.47,0.5,"20190101"
"11",10,17,6,8,17,16,3,4,17,16,48,55,48,51,0.5,0.5,"20190101"
"12",11,17,7,8,16,16,3,4,15,15,53,55,49,51,0.43,0.5,"20190101"
"13",12,19,6,8,19,16,3,3,14,15,58,58,50,51,0.47,0.47,"20190101"
"14",13,23,11,8,23,16,4,4,13,16,62,62,51,52,0.47,0.43,"20190101"
"15",14,26,10,8,26,16,5,4,13,16,67,67,53,53,0.5,0.43,"20190101"
"16",15,35,10,8,35,16,5,4,14,16,70,70,56,56,0.5,0.43,"20190101"
"17",16,31,11,8,31,16,5,4,18,16,67,70,58,58,0.5,0.43,"20190101"
"18",17,32,13,8,32,16,5,4,22,16,63,70,61,61,0.47,0.43,"20190101"
"19",18,39,14,8,39,17,4,4,29,16,58,70,62,62,0.5,0.43,"20190101"
"20",19,38,15,8,38,18,5,4,29,16,51,70,62,63,0.57,0.47,"20190101"
"21",20,35,16,8,35,19,7,4,32,17,46,70,61,63,0.53,0.47,"20190101"
"22",21,30,13,8,30,19,6,4,26,17,48,70,59,63,0.5,0.47,"20190101"
"23",22,17,11,8,17,19,3,4,22,17,51,70,57,63,0.5,0.47,"20190101"
"24",23,18,9,8,18,19,4,4,22,17,48,70,54,63,0.5,0.47,"20190101"
"25",0,17,8,9,11,19,3,4,17,17,53,70,52,63,0.47,0.47,"20190102"
"26",1,17,7,9,12,20,4,4,14,17,53,70,53,53,0.5,0.47,"20190102"
"27",2,18,8,9,9,20,3,4,11,17,56,70,54,54,0.47,0.47,"20190102"
"28",3,17,9,9,6,20,3,4,10,17,55,70,55,55,0.47,0.47,"20190102"
"29",4,17,8,9,10,21,3,4,8,17,55,70,55,55,0.47,0.47,"20190102"
"30",5,17,8,9,11,21,3,4,7,17,55,70,55,55,0.47,0.47,"20190102"
"31",6,17,8,9,11,21,3,4,9,17,53,70,54,55,0.47,0.47,"20190102"
"32",7,16,8,9,12,21,4,4,15,17,50,70,54,55,0.5,0.47,"20190102"
"33",8,16,9,10,16,21,3,4,24,17,42,70,52,55,0.5,0.47,"20190102"
"34",9,20,10,10,20,22,3,4,21,18,44,70,51,55,0.53,0.47,"20190102"
"35",10,20,9,10,20,22,3,4,21,18,44,70,50,55,0.53,0.47,"20190102"
"36",11,20,10,10,20,22,4,4,19,18,49,70,49,55,0.53,0.5,"20190102"
"37",12,23,11,10,23,22,4,4,17,18,53,70,49,55,0.53,0.5,"20190102"
"38",13,25,11,10,25,22,4,4,17,18,54,70,49,55,0.53,0.5,"20190102"
"39",14,24,11,10,24,22,4,4,18,18,56,70,49,55,0.53,0.5,"20190102"
"40",15,22,11,10,22,22,3,4,18,18,57,67,50,55,0.5,0.5,"20190102"
"41",16,22,12,10,22,21,4,4,19,18,60,63,52,55,0.5,0.5,"20190102"
"42",17,26,12,10,26,21,4,4,25,19,57,61,54,55,0.53,0.5,"20190102"
"43",18,27,13,10,27,21,4,4,26,19,51,61,55,56,0.57,0.5,"20190102"
"44",19,21,14,10,21,20,4,4,26,18,50,61,55,56,0.6,0.5,"20190102"
"45",20,22,12,10,22,19,3,3,28,18,49,61,54,56,0.57,0.5,"20190102"
"46",21,16,11,10,16,19,3,3,27,18,46,61,53,56,0.57,0.5,"20190102"
"47",22,14,10,10,14,18,3,3,24,18,46,61,52,56,0.57,0.5,"20190102"
"48",23,19,9,10,19,18,4,3,22,19,48,61,51,56,0.57,0.5,"20190102"
"49",0,19,9,10,19,19,3,3,18,19,47,61,49,55,0.57,0.5,"20190103"
"50",1,16,10,10,16,19,3,3,15,19,48,61,48,48,0.53,0.53,"20190103"
"51",2,16,9,10,16,19,3,3,15,19,49,61,48,50,0.53,0.53,"20190103"
"52",3,15,10,10,10,19,3,3,15,19,49,61,49,50,0.53,0.53,"20190103"
"53",4,15,8,10,12,19,4,3,15,19,48,61,49,50,0.53,0.53,"20190103"
"54",5,15,9,10,15,19,4,3,27,20,38,61,46,50,0.53,0.53,"20190103"
"55",6,20,11,10,20,19,3,4,21,20,39,61,45,50,0.57,0.53,"20190103"
