"","hour","AQI","PM2.5","PM2.5_24h","PM10","PM10_24h","SO2","SO2_24h","NO2","NO2_24h","O3","O3_24h","O3_8h","O3_8h_24h","CO","CO_24h","date"
"1",0,81,53,45,111,83,14,12,21,32,78,78,67,67,0.83,0.77,"20180101"
"2",1,84,54,46,117,85,14,13,20,31,83,83,83,83,0.8,0.77,"20180101"
"3",2,87,59,47,123,88,15,13,18,31,90,90,86,86,0.77,0.77,"20180101"
"4",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180101"
"5",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180101"
"6",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180101"
"7",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180101"
"8",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180101"
"9",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180101"
"10",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180101"
"11",10,71,43,49,91,94,8,11,22,25,78,90,83,87,0.7,0.83,"20180101"
"12",11,75,43,50,100,94,11,10,20,24,90,91,78,88,0.67,0.8,"20180101"
"13",12,78,47,50,105,96,12,10,20,24,97,97,80,88,0.73,0.8,"20180101"
"14",13,79,46,50,108,97,13,10,19,24,105,105,83,88,0.73,0.8,"20180101"
"15",14,80,46,50,109,99,13,10,18,23,114,114,87,89,0.7,0.8,"20180101"
"16",15,83,48,51,115,101,12,10,20,23,115,116,92,92,0.7,0.8,"20180101"
"17",16,85,48,51,119,103,11,10,22,23,111,116,98,98,0.73,0.77,"20180101"
"18",17,81,47,51,112,105,10,11,25,22,104,116,102,102,0.73,0.77,"20180101"
"19",18,79,48,51,108,106,9,11,31,22,92,116,104,104,0.77,0.77,"20180101"
"20",19,78,47,51,105,106,9,11,28,22,82,116,103,104,0.77,0.77,"20180101"
"21",20,75,46,51,99,105,8,11,31,22,75,116,100,104,0.77,0.77,"20180101"
"22",21,74,49,51,98,104,10,11,29,22,72,116,96,104,0.77,0.77,"20180101"
"23",22,75,53,51,99,104,13,11,35,23,65,116,90,104,0.83,0.77,"20180101"
"24",23,72,50,50,93,103,9,11,36,23,62,116,83,104,0.8,0.77,"20180101"
"25",0,68,49,50,78,102,6,10,23,23,72,116,78,104,0.73,0.77,"20180102"
"26",1,66,48,50,76,100,5,10,20,23,71,116,71,71,0.73,0.73,"20180102"
"27",2,66,48,49,71,98,5,9,23,23,68,116,69,71,0.73,0.73,"20180102"
"28",3,66,48,49,71,96,10,9,36,24,54,116,64,71,0.73,0.73,"20180102"
"29",4,63,45,49,64,95,10,9,33,25,56,116,62,71,0.73,0.73,"20180102"
"30",5,63,45,48,72,94,17,10,47,27,42,116,58,71,0.73,0.73,"20180102"
"31",6,68,49,48,77,94,14,10,50,28,34,116,54,71,0.77,0.73,"20180102"
"32",7,71,52,48,91,94,24,11,54,30,40,116,52,71,0.8,0.73,"20180102"
"33",8,67,47,48,83,93,23,11,67,31,30,116,49,71,0.87,0.73,"20180102"
"34",9,67,46,47,84,93,18,12,57,32,39,116,45,71,0.87,0.77,"20180102"
"35",10,64,34,47,78,92,10,11,35,33,60,116,44,71,0.7,0.77,"20180102"
"36",11,60,27,46,69,91,4,11,22,33,77,116,47,71,0.6,0.73,"20180102"
"37",12,54,24,45,57,89,5,11,16,32,85,116,51,71,0.57,0.73,"20180102"
"38",13,48,24,44,48,86,5,11,14,32,90,116,57,71,0.6,0.73,"20180102"
"39",14,51,24,43,51,84,6,10,15,32,95,115,65,71,0.57,0.73,"20180102"
"40",15,53,24,42,56,82,7,10,18,32,99,112,72,73,0.57,0.73,"20180102"
"41",16,62,23,41,73,80,7,10,24,32,96,108,80,80,0.57,0.73,"20180102"
"42",17,59,23,40,67,78,7,10,31,32,84,100,85,85,0.57,0.73,"20180102"
"43",18,64,20,39,77,77,8,10,43,33,71,100,87,88,0.6,0.73,"20180102"
"44",19,66,22,38,81,76,9,10,43,33,64,100,85,88,0.63,0.73,"20180102"
"45",20,64,25,37,78,75,8,10,47,34,53,100,81,88,0.67,0.73,"20180102"
"46",21,69,28,36,87,74,15,10,56,35,44,100,76,88,0.63,0.73,"20180102"
"47",22,64,27,35,77,73,13,10,57,36,39,100,69,88,0.63,0.7,"20180102"
"48",23,51,25,34,52,72,6,10,46,36,46,100,62,88,0.53,0.67,"20180102"
"49",0,44,21,33,44,70,5,10,41,37,48,100,56,88,0.5,0.63,"20180103"
"50",1,44,22,32,44,69,9,10,55,38,31,100,31,31,0.57,0.63,"20180103"
"51",2,44,24,31,44,67,8,10,43,39,42,100,36,36,0.5,0.63,"20180103"
"52",3,42,21,30,42,67,9,10,52,40,31,100,34,36,0.53,0.63,"20180103"
"53",4,52,29,30,53,66,16,11,54,41,40,100,32,36,0.67,0.63,"20180103"
"54",5,58,36,29,66,66,14,11,51,41,43,100,32,36,0.7,0.67,"20180103"
"55",6,62,42,29,73,66,15,10,61,42,33,100,30,36,0.73,0.63,"20180103"
"56",7,66,45,28,81,65,21,10,67,42,26,100,28,36,0.8,0.63,"20180103"
"57",8,75,47,28,100,66,25,11,68,42,17,100,27,36,0.93,0.63,"20180103"
"58",9,74,43,29,97,66,33,11,63,42,27,100,27,36,0.97,0.63,"20180103"
"59",10,68,41,29,86,67,32,12,55,43,47,100,25,36,0.8,0.63,"20180103"
"60",11,67,38,29,84,68,14,12,38,44,70,100,27,37,0.7,0.63,"20180103"
"61",12,57,21,29,63,68,11,13,30,44,74,100,34,40,0.63,0.63,"20180103"
"62",13,59,25,29,67,69,11,13,18,45,99,101,44,46,0.57,0.63,"20180103"
"63",14,55,21,29,60,69,10,13,17,45,107,109,57,57,0.53,0.63,"20180103"
"64",15,58,20,29,65,69,8,13,17,46,101,109,69,69,0.5,0.63,"20180103"
"65",16,58,20,29,65,69,7,13,20,46,97,109,81,81,0.45,0.63,"20180103"
"66",17,58,21,29,66,69,6,13,23,45,86,109,89,89,0.5,0.67,"20180103"
"67",18,59,22,29,68,69,6,13,27,44,76,109,90,91,0.55,0.67,"20180103"
"68",19,56,20,29,61,68,5,13,29,44,66,109,88,91,0.57,0.63,"20180103"
"69",20,51,18,28,51,67,6,13,30,43,63,109,87,91,0.63,0.63,"20180103"
"70",21,49,19,28,49,65,6,13,37,43,56,109,82,91,0.67,0.63,"20180103"
"71",22,46,19,28,46,64,9,12,34,41,57,109,75,91,0.67,0.63,"20180103"
"72",23,51,19,27,52,64,12,13,33,41,58,109,70,91,0.67,0.63,"20180103"
"73",0,50,22,27,50,64,12,13,35,41,49,109,64,91,0.73,0.63,"20180104"
"74",1,53,26,28,55,64,10,13,41,40,44,109,44,44,0.77,0.63,"20180104"
"75",2,52,27,28,53,65,10,13,42,40,36,109,40,44,0.77,0.67,"20180104"
"76",3,43,26,28,43,65,9,13,38,40,40,109,40,44,0.83,0.67,"20180104"
"77",4,44,27,28,44,65,11,13,36,39,39,109,40,44,0.83,0.67,"20180104"
"78",5,42,26,28,42,64,16,13,27,38,45,109,41,44,0.83,0.7,"20180104"
"79",6,37,22,27,37,62,12,13,21,36,49,109,42,44,0.83,0.7,"20180104"
"80",7,33,19,26,33,61,9,12,23,34,52,109,44,45,0.83,0.67,"20180104"
"81",8,32,19,24,32,58,10,11,41,33,42,109,44,45,0.93,0.7,"20180104"
"82",9,37,20,23,37,55,13,11,43,32,42,109,43,45,0.75,0.7,"20180104"
"83",10,45,23,22,45,53,14,10,48,32,39,109,43,45,0.73,0.7,"20180104"
"84",11,52,23,22,54,52,14,10,48,32,39,109,43,45,0.73,0.7,"20180104"
"85",12,54,23,22,58,51,12,10,47,33,47,109,44,46,0.73,0.7,"20180104"
"86",13,51,20,22,52,51,11,10,41,33,49,108,45,46,0.73,0.7,"20180104"
"87",14,43,20,22,43,50,10,10,50,35,55,101,46,47,0.75,0.7,"20180104"
"88",15,53,21,22,55,50,11,10,48,35,54,97,46,48,0.73,0.73,"20180104"
"89",16,52,23,22,54,49,9,10,46,37,55,86,48,49,0.73,0.73,"20180104"
"90",17,50,22,22,50,49,9,10,37,37,54,78,49,50,0.7,0.77,"20180104"
"91",18,50,25,22,50,48,8,10,43,38,48,71,50,51,0.7,0.77,"20180104"
"92",19,47,27,22,47,47,6,10,53,39,36,66,50,51,0.77,0.77,"20180104"
